
supply temperature, 27, 2024-11-02T11:14:03.726Z, 2024-11-02T11:14:42.768Z
return temperature, 22.7, 2024-11-02T11:13:11.007Z, 2024-11-02T11:14:42.768Z
volumetric flow, 1235, 2024-11-02T11:14:41.172Z, 2024-11-02T11:14:42.768Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:14:42.768Z
outside temperature, 11.6, 2024-11-02T11:14:37.100Z, 2024-11-02T11:14:42.768Z
supply temperature, 27, 2024-11-02T11:14:03.726Z, 2024-11-02T11:15:13.108Z
return temperature, 22.7, 2024-11-02T11:13:11.007Z, 2024-11-02T11:15:13.108Z
volumetric flow, 1235, 2024-11-02T11:14:41.172Z, 2024-11-02T11:15:13.108Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:15:13.108Z
outside temperature, 11.6, 2024-11-02T11:14:37.100Z, 2024-11-02T11:15:13.108Z
supply temperature, 27, 2024-11-02T11:14:03.726Z, 2024-11-02T11:15:43.111Z
return temperature, 22.7, 2024-11-02T11:13:11.007Z, 2024-11-02T11:15:43.111Z
volumetric flow, 1235, 2024-11-02T11:14:41.172Z, 2024-11-02T11:15:43.111Z
power consumption, 1.3, 2024-11-02T11:05:20.406Z, 2024-11-02T11:15:43.111Z
outside temperature, 11.6, 2024-11-02T11:14:37.100Z, 2024-11-02T11:15:43.111Z
supply temperature, 27.2, 2024-11-02T11:16:14.422Z, 2024-11-02T11:16:13.119Z
return temperature, 22.9, 2024-11-02T11:16:05.300Z, 2024-11-02T11:16:13.119Z
volumetric flow, 1227, 2024-11-02T11:16:14.422Z, 2024-11-02T11:16:13.119Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:16:13.119Z
outside temperature, 11.6, 2024-11-02T11:16:05.300Z, 2024-11-02T11:16:13.119Z
supply temperature, 27.2, 2024-11-02T11:16:14.422Z, 2024-11-02T11:16:45.035Z
return temperature, 22.9, 2024-11-02T11:16:05.300Z, 2024-11-02T11:16:45.035Z
volumetric flow, 1227, 2024-11-02T11:16:14.422Z, 2024-11-02T11:16:45.035Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:16:45.035Z
outside temperature, 11.6, 2024-11-02T11:16:05.300Z, 2024-11-02T11:16:45.035Z
supply temperature, 27.2, 2024-11-02T11:16:14.422Z, 2024-11-02T11:17:15.044Z
return temperature, 23, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:15.044Z
volumetric flow, 1236, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:15.044Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:17:15.044Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:15.044Z
supply temperature, 27.2, 2024-11-02T11:16:14.422Z, 2024-11-02T11:17:45.251Z
return temperature, 23, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:45.251Z
volumetric flow, 1236, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:45.251Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:17:45.251Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:17:45.251Z
supply temperature, 27.2, 2024-11-02T11:16:14.422Z, 2024-11-02T11:18:15.253Z
return temperature, 23, 2024-11-02T11:17:11.253Z, 2024-11-02T11:18:15.253Z
volumetric flow, 1236, 2024-11-02T11:17:11.253Z, 2024-11-02T11:18:15.253Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:18:15.253Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:18:15.253Z
supply temperature, 27.3, 2024-11-02T11:17:59.990Z, 2024-11-02T11:18:45.254Z
return temperature, 23, 2024-11-02T11:17:51.829Z, 2024-11-02T11:18:45.254Z
volumetric flow, 1233, 2024-11-02T11:18:41.465Z, 2024-11-02T11:18:45.254Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:18:45.254Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:18:45.254Z
supply temperature, 27.3, 2024-11-02T11:17:59.990Z, 2024-11-02T11:19:15.503Z
return temperature, 23, 2024-11-02T11:17:51.829Z, 2024-11-02T11:19:15.503Z
volumetric flow, 1233, 2024-11-02T11:18:41.465Z, 2024-11-02T11:19:15.503Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:19:15.503Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:19:15.503Z
supply temperature, 27.3, 2024-11-02T11:17:59.990Z, 2024-11-02T11:19:45.513Z
return temperature, 23, 2024-11-02T11:17:51.829Z, 2024-11-02T11:19:45.513Z
volumetric flow, 1233, 2024-11-02T11:18:41.465Z, 2024-11-02T11:19:45.513Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:19:45.513Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:19:45.513Z
supply temperature, 27.4, 2024-11-02T11:18:57.686Z, 2024-11-02T11:20:15.522Z
return temperature, 23.1, 2024-11-02T11:19:14.002Z, 2024-11-02T11:20:15.522Z
volumetric flow, 1221, 2024-11-02T11:20:14.909Z, 2024-11-02T11:20:15.522Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:20:15.522Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:20:15.522Z
supply temperature, 27.4, 2024-11-02T11:18:57.686Z, 2024-11-02T11:20:45.904Z
return temperature, 23.1, 2024-11-02T11:19:14.002Z, 2024-11-02T11:20:45.904Z
volumetric flow, 1221, 2024-11-02T11:20:14.909Z, 2024-11-02T11:20:45.904Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:20:45.904Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:20:45.904Z
supply temperature, 27.4, 2024-11-02T11:18:57.686Z, 2024-11-02T11:21:15.912Z
return temperature, 23.1, 2024-11-02T11:19:14.002Z, 2024-11-02T11:21:15.912Z
volumetric flow, 1221, 2024-11-02T11:20:14.909Z, 2024-11-02T11:21:15.912Z
power consumption, 1.4, 2024-11-02T11:15:21.739Z, 2024-11-02T11:21:15.912Z
outside temperature, 11.6, 2024-11-02T11:17:11.253Z, 2024-11-02T11:21:15.912Z
supply temperature, 27.5, 2024-11-02T11:20:34.298Z, 2024-11-02T11:21:45.920Z
return temperature, 23.2, 2024-11-02T11:21:15.761Z, 2024-11-02T11:21:45.920Z
volumetric flow, 1234, 2024-11-02T11:21:44.155Z, 2024-11-02T11:21:45.920Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:21:45.920Z
outside temperature, 11.6, 2024-11-02T11:21:03.546Z, 2024-11-02T11:21:45.920Z
supply temperature, 27.5, 2024-11-02T11:20:34.298Z, 2024-11-02T11:22:16.078Z
return temperature, 23.2, 2024-11-02T11:21:15.761Z, 2024-11-02T11:22:16.078Z
volumetric flow, 1234, 2024-11-02T11:21:44.155Z, 2024-11-02T11:22:16.078Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:22:16.078Z
outside temperature, 11.6, 2024-11-02T11:21:03.546Z, 2024-11-02T11:22:16.078Z
supply temperature, 27.5, 2024-11-02T11:20:34.298Z, 2024-11-02T11:22:46.087Z
return temperature, 23.2, 2024-11-02T11:21:15.761Z, 2024-11-02T11:22:46.087Z
volumetric flow, 1234, 2024-11-02T11:21:44.155Z, 2024-11-02T11:22:46.087Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:22:46.087Z
outside temperature, 11.6, 2024-11-02T11:21:03.546Z, 2024-11-02T11:22:46.087Z
supply temperature, 27.6, 2024-11-02T11:22:28.831Z, 2024-11-02T11:23:16.096Z
return temperature, 23.3, 2024-11-02T11:22:57.121Z, 2024-11-02T11:23:16.096Z
volumetric flow, 1228, 2024-11-02T11:23:13.357Z, 2024-11-02T11:23:16.096Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:23:16.096Z
outside temperature, 11.6, 2024-11-02T11:23:09.309Z, 2024-11-02T11:23:16.096Z
supply temperature, 27.6, 2024-11-02T11:22:28.831Z, 2024-11-02T11:23:46.441Z
return temperature, 23.3, 2024-11-02T11:22:57.121Z, 2024-11-02T11:23:46.441Z
volumetric flow, 1228, 2024-11-02T11:23:13.357Z, 2024-11-02T11:23:46.441Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:23:46.441Z
outside temperature, 11.6, 2024-11-02T11:23:09.309Z, 2024-11-02T11:23:46.441Z
supply temperature, 27.6, 2024-11-02T11:22:28.831Z, 2024-11-02T11:24:16.447Z
return temperature, 23.3, 2024-11-02T11:22:57.121Z, 2024-11-02T11:24:16.447Z
volumetric flow, 1228, 2024-11-02T11:23:13.357Z, 2024-11-02T11:24:16.447Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:24:16.447Z
outside temperature, 11.6, 2024-11-02T11:23:09.309Z, 2024-11-02T11:24:16.447Z
supply temperature, 27.7, 2024-11-02T11:24:17.260Z, 2024-11-02T11:24:46.447Z
return temperature, 23.3, 2024-11-02T11:24:42.483Z, 2024-11-02T11:24:46.447Z
volumetric flow, 1236, 2024-11-02T11:24:42.483Z, 2024-11-02T11:24:46.447Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:24:46.447Z
outside temperature, 11.6, 2024-11-02T11:23:57.980Z, 2024-11-02T11:24:46.447Z
supply temperature, 27.7, 2024-11-02T11:24:17.260Z, 2024-11-02T11:25:16.642Z
return temperature, 23.3, 2024-11-02T11:24:42.483Z, 2024-11-02T11:25:16.642Z
volumetric flow, 1236, 2024-11-02T11:24:42.483Z, 2024-11-02T11:25:16.642Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:25:16.642Z
outside temperature, 11.6, 2024-11-02T11:23:57.980Z, 2024-11-02T11:25:16.642Z
supply temperature, 27.7, 2024-11-02T11:24:17.260Z, 2024-11-02T11:25:46.652Z
return temperature, 23.3, 2024-11-02T11:24:42.483Z, 2024-11-02T11:25:46.652Z
volumetric flow, 1236, 2024-11-02T11:24:42.483Z, 2024-11-02T11:25:46.652Z
power consumption, 1.5, 2024-11-02T11:20:22.113Z, 2024-11-02T11:25:46.652Z
outside temperature, 11.6, 2024-11-02T11:23:57.980Z, 2024-11-02T11:25:46.652Z
supply temperature, 27.8, 2024-11-02T11:25:43.428Z, 2024-11-02T11:26:16.653Z
return temperature, 23.4, 2024-11-02T11:26:15.871Z, 2024-11-02T11:26:16.653Z
volumetric flow, 1237, 2024-11-02T11:26:15.871Z, 2024-11-02T11:26:16.653Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:26:16.653Z
outside temperature, 11.6, 2024-11-02T11:26:10.894Z, 2024-11-02T11:26:16.653Z
supply temperature, 27.8, 2024-11-02T11:25:43.428Z, 2024-11-02T11:26:46.969Z
return temperature, 23.4, 2024-11-02T11:26:15.871Z, 2024-11-02T11:26:46.969Z
volumetric flow, 1237, 2024-11-02T11:26:15.871Z, 2024-11-02T11:26:46.969Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:26:46.969Z
outside temperature, 11.6, 2024-11-02T11:26:10.894Z, 2024-11-02T11:26:46.969Z
supply temperature, 27.8, 2024-11-02T11:25:43.428Z, 2024-11-02T11:27:16.977Z
return temperature, 23.4, 2024-11-02T11:26:15.871Z, 2024-11-02T11:27:16.977Z
volumetric flow, 1237, 2024-11-02T11:26:15.871Z, 2024-11-02T11:27:16.977Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:27:16.977Z
outside temperature, 11.6, 2024-11-02T11:26:10.894Z, 2024-11-02T11:27:16.977Z
supply temperature, 27.8, 2024-11-02T11:27:45.129Z, 2024-11-02T11:27:46.985Z
return temperature, 23.5, 2024-11-02T11:27:00.447Z, 2024-11-02T11:27:46.985Z
volumetric flow, 1227, 2024-11-02T11:27:45.129Z, 2024-11-02T11:27:46.985Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:27:46.985Z
outside temperature, 11.6, 2024-11-02T11:27:41.042Z, 2024-11-02T11:27:46.985Z
supply temperature, 27.8, 2024-11-02T11:27:45.129Z, 2024-11-02T11:28:17.175Z
return temperature, 23.5, 2024-11-02T11:27:00.447Z, 2024-11-02T11:28:17.175Z
volumetric flow, 1227, 2024-11-02T11:27:45.129Z, 2024-11-02T11:28:17.175Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:28:17.175Z
outside temperature, 11.6, 2024-11-02T11:27:41.042Z, 2024-11-02T11:28:17.175Z
supply temperature, 27.8, 2024-11-02T11:27:45.129Z, 2024-11-02T11:28:47.181Z
return temperature, 23.5, 2024-11-02T11:27:00.447Z, 2024-11-02T11:28:47.181Z
volumetric flow, 1227, 2024-11-02T11:27:45.129Z, 2024-11-02T11:28:47.181Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:28:47.181Z
outside temperature, 11.6, 2024-11-02T11:27:41.042Z, 2024-11-02T11:28:47.181Z
supply temperature, 27.8, 2024-11-02T11:29:02.277Z, 2024-11-02T11:29:17.184Z
return temperature, 23.5, 2024-11-02T11:29:06.459Z, 2024-11-02T11:29:17.184Z
volumetric flow, 1225, 2024-11-02T11:29:14.602Z, 2024-11-02T11:29:17.184Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:29:17.184Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:29:17.184Z
supply temperature, 27.8, 2024-11-02T11:29:02.277Z, 2024-11-02T11:29:47.372Z
return temperature, 23.5, 2024-11-02T11:29:06.459Z, 2024-11-02T11:29:47.372Z
volumetric flow, 1225, 2024-11-02T11:29:14.602Z, 2024-11-02T11:29:47.372Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:29:47.372Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:29:47.372Z
supply temperature, 27.8, 2024-11-02T11:29:02.277Z, 2024-11-02T11:30:17.380Z
return temperature, 23.5, 2024-11-02T11:29:06.459Z, 2024-11-02T11:30:17.380Z
volumetric flow, 1225, 2024-11-02T11:29:14.602Z, 2024-11-02T11:30:17.380Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:30:17.380Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:30:17.380Z
supply temperature, 27.8, 2024-11-02T11:30:36.538Z, 2024-11-02T11:30:47.381Z
return temperature, 23.6, 2024-11-02T11:30:04.072Z, 2024-11-02T11:30:47.381Z
volumetric flow, 1228, 2024-11-02T11:30:44.636Z, 2024-11-02T11:30:47.381Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:30:47.381Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:30:47.381Z
supply temperature, 27.8, 2024-11-02T11:30:36.538Z, 2024-11-02T11:31:17.592Z
return temperature, 23.6, 2024-11-02T11:30:04.072Z, 2024-11-02T11:31:17.592Z
volumetric flow, 1228, 2024-11-02T11:30:44.636Z, 2024-11-02T11:31:17.592Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:31:17.592Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:31:17.592Z
supply temperature, 27.8, 2024-11-02T11:30:36.538Z, 2024-11-02T11:31:47.601Z
return temperature, 23.6, 2024-11-02T11:30:04.072Z, 2024-11-02T11:31:47.601Z
volumetric flow, 1228, 2024-11-02T11:30:44.636Z, 2024-11-02T11:31:47.601Z
power consumption, 1.6, 2024-11-02T11:25:22.227Z, 2024-11-02T11:31:47.601Z
outside temperature, 11.7, 2024-11-02T11:27:57.328Z, 2024-11-02T11:31:47.601Z
supply temperature, 27.8, 2024-11-02T11:31:13.021Z, 2024-11-02T11:32:17.605Z
return temperature, 23.7, 2024-11-02T11:31:57.668Z, 2024-11-02T11:32:17.605Z
volumetric flow, 1228, 2024-11-02T11:32:17.902Z, 2024-11-02T11:32:17.605Z
